"FullName","Length","IsEmpty","LastWriteTime"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint-community\regexpp\README.md","5663","False","1/28/2026 5:44:37 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\conf\config-schema.js","2228","False","1/28/2026 5:44:37 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\conf\environments.js","5015","False","1/28/2026 5:44:37 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\dist\eslintrc-universal.cjs","34880","False","1/28/2026 5:44:35 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\dist\eslintrc-universal.cjs.map","62575","False","1/28/2026 5:44:38 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\dist\eslintrc.cjs","147719","False","1/28/2026 5:44:36 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\dist\eslintrc.cjs.map","248730","False","1/28/2026 5:44:38 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\lib\cascading-config-array-factory.js","18904","False","1/28/2026 5:44:37 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\lib\config-array-factory.js","41292","False","1/28/2026 5:44:37 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\lib\config-array\config-array.js","17289","False","1/28/2026 5:44:37 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\lib\config-array\config-dependency.js","3684","False","1/28/2026 5:44:37 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\lib\config-array\extracted-config.js","4154","False","1/28/2026 5:44:38 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\lib\config-array\ignore-pattern.js","8303","False","1/28/2026 5:44:38 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\lib\config-array\index.js","543","False","1/28/2026 5:44:38 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\lib\config-array\override-tester.js","6877","False","1/28/2026 5:44:38 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\lib\flat-compat.js","11255","False","1/28/2026 5:44:38 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\lib\index-universal.js","778","False","1/28/2026 5:44:38 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\lib\index.js","1720","False","1/28/2026 5:44:38 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\lib\shared\ajv.js","5310","False","1/28/2026 5:44:36 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\lib\shared\config-ops.js","4712","False","1/28/2026 5:44:37 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\lib\shared\config-validator.js","11919","False","1/28/2026 5:44:37 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\lib\shared\deprecation-warnings.js","2331","False","1/28/2026 5:44:37 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\lib\shared\naming.js","3117","False","1/28/2026 5:44:38 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\lib\shared\relative-module-resolver.js","1420","False","1/28/2026 5:44:38 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\lib\shared\types.js","7123","False","1/28/2026 5:44:38 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\LICENSE","1094","False","1/28/2026 5:44:34 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\package.json","2221","False","1/28/2026 5:44:38 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\README.md","2992","False","1/28/2026 5:44:38 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\eslintrc\universal.js","561","False","1/28/2026 5:44:38 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\js\LICENSE","1094","False","1/28/2026 5:44:34 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\js\package.json","640","False","1/28/2026 5:44:36 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\js\README.md","1479","False","1/28/2026 5:44:36 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\js\src\configs\eslint-all.js","7609","False","1/28/2026 5:44:35 PM"
"C:\dev\Compliance\apps\campaign_compliance\node_modules\@eslint\js\src\configs\eslint-recommended.js","2645","False","1/28/2026 5:44:35 PM"
